iteration,feature_method,n_features,feature_cols,model_type,model_params,preprocessor,val_exact,val_within1,test_exact,test_within1,test_overall
97,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 50}",robust,0.06666666666666667,0.15555555555555556,0.2833333333333333,0.48333333333333334,0.42333333333333334
98,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 100}",minmax,0.044444444444444446,0.14444444444444443,0.5,0.7166666666666666,0.6516666666666666
100,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 100}",none,0.1111111111111111,0.2777777777777778,0.08333333333333334,0.2,0.16499999999999998
101,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 50}",standard,0.08888888888888889,0.25555555555555554,0.5166666666666666,0.7166666666666667,0.6566666666666665
106,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100}",standard,0.15555555555555556,0.37777777777777777,0.5833333333333333,0.8333333333333334,0.7583333333333333
108,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 50}",minmax,0.15555555555555556,0.3888888888888889,0.5666666666666667,0.8166666666666667,0.7416666666666666
111,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",none,0.05555555555555555,0.2,0.43333333333333335,0.6833333333333333,0.6083333333333334
115,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",standard,0.05555555555555555,0.2111111111111111,0.06666666666666667,0.23333333333333334,0.18333333333333332
116,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 50}",standard,0.011111111111111112,0.06666666666666667,0.06666666666666667,0.15,0.12499999999999999
117,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 50}",none,0.14444444444444443,0.26666666666666666,0.5333333333333333,0.7833333333333333,0.7083333333333333
118,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 200}",robust,0.5666666666666667,0.8555555555555555,0.5666666666666667,0.8166666666666667,0.7416666666666666
120,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",xgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 200}",none,0.5666666666666667,0.8666666666666667,0.2,0.6,0.48
122,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 200}",minmax,0.15555555555555556,0.37777777777777777,0.5166666666666666,0.7166666666666667,0.6566666666666665
123,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 100}",standard,0.13333333333333333,0.24444444444444444,0.5166666666666666,0.7166666666666666,0.6566666666666666
125,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 200}",minmax,0.1,0.14444444444444443,0.5666666666666667,0.8,0.73
128,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 50}",minmax,0.1,0.23333333333333334,0.4,0.7333333333333334,0.6333333333333333
134,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 100}",minmax,0.13333333333333333,0.24444444444444444,0.5166666666666666,0.7166666666666666,0.6566666666666666
136,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100}",robust,0.05555555555555555,0.12222222222222222,0.1,0.23333333333333334,0.19333333333333333
137,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 200}",none,0.1111111111111111,0.34444444444444444,0.6,0.8500000000000001,0.775
138,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 10, ""n_estimators"": 200}",minmax,0.05555555555555555,0.18888888888888888,0.06666666666666667,0.25,0.19499999999999998
139,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 100}",robust,0.03333333333333333,0.1111111111111111,0.016666666666666666,0.13333333333333333,0.09833333333333333
141,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",xgb,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",minmax,0.03333333333333333,0.1111111111111111,0.45,0.6499999999999999,0.59
142,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 300}",none,0.08888888888888889,0.2111111111111111,0.3833333333333333,0.6333333333333333,0.5583333333333332
143,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 50}",standard,0.05555555555555555,0.24444444444444444,0.08333333333333333,0.2833333333333333,0.22333333333333333
146,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 50}",robust,0.15555555555555556,0.4444444444444444,0.06666666666666667,0.25,0.195
147,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100}",minmax,0.16666666666666666,0.26666666666666666,0.11666666666666667,0.2833333333333333,0.23333333333333334
151,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",xgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 100}",standard,0.4888888888888889,0.8444444444444444,0.21666666666666667,0.5166666666666666,0.42666666666666664
152,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",none,0.07777777777777778,0.16666666666666666,0.5833333333333333,0.8166666666666667,0.7466666666666666
155,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100}",minmax,0.15555555555555556,0.37777777777777777,0.5833333333333333,0.8333333333333334,0.7583333333333333
156,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 300}",minmax,0.022222222222222223,0.06666666666666667,0.11666666666666667,0.26666666666666666,0.22166666666666665
158,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",minmax,0.03333333333333333,0.06666666666666667,0.55,0.7666666666666666,0.7016666666666667
159,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200}",standard,0.5222222222222223,0.7888888888888889,0.11666666666666667,0.2833333333333333,0.2333333333333333
161,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",none,0.022222222222222223,0.05555555555555555,0.016666666666666666,0.11666666666666667,0.08666666666666666
165,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 200}",robust,0.16666666666666666,0.35555555555555557,0.41666666666666663,0.6499999999999999,0.58
168,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",standard,0.08888888888888889,0.28888888888888886,0.13333333333333333,0.26666666666666666,0.22666666666666668
171,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200}",robust,0.15555555555555556,0.34444444444444444,0.5166666666666666,0.7166666666666666,0.6566666666666666
173,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300}",robust,0.1,0.32222222222222224,0.43333333333333335,0.6499999999999999,0.585
174,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 100}",none,0.07777777777777778,0.36666666666666664,0.16666666666666666,0.2833333333333333,0.24833333333333332
175,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 300}",standard,0.05555555555555555,0.15555555555555556,0.06666666666666667,0.2,0.15999999999999998
177,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 300}",minmax,0.2,0.4444444444444444,0.4666666666666667,0.6666666666666666,0.6066666666666667
180,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",robust,0.044444444444444446,0.16666666666666666,0.35,0.6333333333333333,0.5483333333333333
182,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 50}",robust,0.3888888888888889,0.5777777777777777,0.05,0.23333333333333334,0.17833333333333332
185,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",robust,0.022222222222222223,0.08888888888888889,0.1,0.25,0.205
187,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200}",standard,0.3333333333333333,0.7444444444444445,0.31666666666666665,0.7,0.585
189,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 300}",standard,0.06666666666666667,0.15555555555555556,0.05,0.15,0.12
190,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",robust,0.05555555555555555,0.16666666666666666,0.09999999999999999,0.2,0.16999999999999998
192,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 100}",minmax,0.07777777777777778,0.18888888888888888,0.016666666666666666,0.15000000000000002,0.10999999999999999
193,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 200}",robust,0.15555555555555556,0.37777777777777777,0.05,0.26666666666666666,0.20166666666666666
195,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",robust,0.13333333333333333,0.3333333333333333,0.15,0.3,0.255
197,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50}",standard,0.07777777777777778,0.18888888888888888,0.08333333333333333,0.21666666666666667,0.17666666666666667
